,Hashtag,WC,CC,FirstDate,Cluster,WC/CC
574,btsbbmas,90,92,Mon May  1 16:48:23 2017,3,0.978260869565
15272,takeaknee,80,82,Sat Sep 23 15:46:21 2017,3,0.975609756098
12859,labordayweekend,59,59,Fri Sep  1 15:37:33 2017,3,1.0
20259,impeachtrump,57,59,Tue Aug 15 15:30:45 2017,3,0.966101694915
13082,memorialdayweekend,55,55,Fri May 26 16:58:23 2017,3,1.0
13959,rivalrybeef,51,52,Tue Aug 29 18:36:24 2017,3,0.980769230769
4023,womensmarch,47,47,Fri Jan 20 15:07:58 2017,3,1.0
3711,oscars,43,43,Sun Feb 26 15:22:46 2017,3,1.0
4449,houston,42,42,Sun Aug 27 15:35:33 2017,3,1.0
9902,hurricaneharvey,42,43,Thu Aug 24 15:34:21 2017,3,0.976744186047
1242,4thofjuly,41,41,Tue Jul  4 15:13:57 2017,3,1.0
11318,alternativefacts,41,41,Sun Jan 22 15:08:46 2017,3,1.0
3066,strangersthings2,34,34,Fri Oct 27 14:59:56 2017,3,1.0
11126,covfefe,33,33,Wed May 31 03:00:09 2017,3,1.0
3269,oscars2017,26,27,Mon Jan 23 15:09:10 2017,3,0.962962962963
5575,lasvegasshooting,24,24,Mon Oct  2 15:49:57 2017,3,1.0
16037,hiring,24,24,Mon Nov 27 16:12:21 2017,3,1.0
16187,merica,24,24,Tue Jul  4 15:13:57 2017,3,1.0
17497,happy4th,24,24,Tue Jul  4 15:13:57 2017,3,1.0
19698,lasvegas,24,24,Mon Oct  2 15:49:57 2017,3,1.0
4728,billpaxton,23,23,Sun Feb 26 15:22:46 2017,3,1.0
17138,houstonflood,23,23,Sun Aug 27 15:35:33 2017,3,1.0
15896,florida,23,24,Sat Sep  9 15:40:45 2017,3,0.958333333333
6546,inauguration,22,22,Fri Jan 20 15:07:58 2017,3,1.0
7688,valentinesday2017,22,22,Tue Feb 14 15:17:58 2017,3,1.0
11387,happyhalloween,22,22,Tue Oct 31 15:01:32 2017,3,1.0
11458,valentines,22,22,Tue Feb 14 15:17:58 2017,3,1.0
13435,trumpinauguration,22,22,Thu Jan 19 16:07:35 2017,3,1.0
16423,resist,22,22,Mon Jan 30 15:11:58 2017,3,1.0
16585,mymaddenprediction,22,22,Mon Jan 30 15:11:58 2017,3,1.0
4623,tompetty,22,23,Sat Feb 11 15:16:46 2017,3,0.95652173913
16313,happyhalloween2017,21,22,Tue Oct 31 15:01:32 2017,3,0.954545454545
17191,superbowlsunday,21,22,Sun Feb  5 15:14:22 2017,3,0.954545454545
6051,igotthecavs,20,20,Sat May 27 15:58:46 2017,3,1.0
10268,happythanksgiving,20,20,Wed Nov 22 15:10:20 2017,3,1.0
12427,sayitwithstickers,20,20,Sun Mar 19 15:31:10 2017,3,1.0
17022,nationalboyfriendday,20,20,Tue Oct  3 15:50:21 2017,3,1.0
19669,merylstreep,20,20,Mon Jan  9 15:03:34 2017,3,1.0
20126,united,20,20,Mon Apr 10 16:39:59 2017,3,1.0
13473,harvey2017,20,21,Fri Aug 25 15:34:45 2017,3,0.952380952381
15798,nationalpuppyday,20,21,Thu Mar 23 15:32:46 2017,3,0.952380952381
3075,shether,19,19,Sat Feb 25 16:22:23 2017,3,1.0
3578,solareclipse2017,19,19,Mon Aug 21 15:33:09 2017,3,1.0
11631,donoharm,19,19,Mon Sep 25 15:47:09 2017,3,1.0
16834,fathersday2017,19,19,Sun Jun 18 15:07:33 2017,3,1.0
5581,starbuckssummergame,18,18,Tue Aug  1 16:25:10 2017,3,1.0
12319,ramadan,18,18,Fri May 26 16:58:23 2017,3,1.0
18801,earthday,18,18,Sat Apr 22 15:44:46 2017,3,1.0
21221,moab,18,18,Thu Apr 13 15:41:10 2017,3,1.0
2720,ripchriscornell,17,17,Thu May 18 15:55:10 2017,3,1.0
5064,nye2017,16,16,Sun Dec 31 16:25:57 2017,3,1.0
524,presidentsday,15,15,Mon Feb 20 16:20:23 2017,3,1.0
6121,blackfriday,15,15,Tue Apr 18 03:42:58 2017,3,1.0
